Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,1074.060059,1088.000000,1073.650024,1079.579956,1079.579956,1023200
2018-05-22,1083.560059,1086.589966,1066.689941,1069.729980,1069.729980,1090000
2018-05-23,1065.130005,1080.780029,1061.709961,1079.689941,1079.689941,1030000
2018-05-24,1079.000000,1080.469971,1066.150024,1079.239990,1079.239990,756800
2018-05-25,1079.020020,1082.560059,1073.775024,1075.660034,1075.660034,899400
2018-05-29,1064.890015,1073.369995,1055.219971,1060.319946,1060.319946,1856900
2018-05-30,1063.030029,1069.209961,1056.829956,1067.800049,1067.800049,1138500
2018-05-31,1067.560059,1097.189941,1067.560059,1084.989990,1084.989990,3088300
2018-06-01,1099.349976,1120.000000,1098.500000,1119.500000,1119.500000,2412000
2018-06-04,1122.329956,1141.890015,1122.005005,1139.290039,1139.290039,1880000
2018-06-05,1140.989990,1145.738037,1133.189941,1139.660034,1139.660034,1678000
2018-06-06,1142.170044,1143.000000,1125.743042,1136.880005,1136.880005,1698200
2018-06-07,1131.319946,1135.819946,1116.520020,1123.859985,1123.859985,1520000
2018-06-08,1118.180054,1126.670044,1112.150024,1120.869995,1120.869995,1290800
2018-06-11,1118.599976,1137.260010,1118.599976,1129.989990,1129.989990,1079300
2018-06-12,1131.069946,1139.790039,1130.734985,1139.319946,1139.319946,912000
2018-06-13,1141.119995,1146.500000,1133.380005,1134.790039,1134.790039,1506400
2018-06-14,1143.849976,1155.469971,1140.640015,1152.119995,1152.119995,1343400
2018-06-15,1148.859985,1153.420044,1143.484985,1152.260010,1152.260010,2122500
2018-06-18,1143.650024,1174.310059,1143.589966,1173.459961,1173.459961,1413700
2018-06-19,1158.500000,1171.270020,1154.010010,1168.060059,1168.060059,1621000
2018-06-20,1175.310059,1186.286011,1169.160034,1169.839966,1169.839966,1648500
2018-06-21,1174.849976,1177.295044,1152.232056,1157.660034,1157.660034,1238100
2018-06-22,1159.140015,1162.496948,1147.260010,1155.479980,1155.479980,1311000
2018-06-25,1143.599976,1143.910034,1112.780029,1124.810059,1124.810059,2157300
2018-06-26,1128.000000,1133.209961,1116.659058,1118.459961,1118.459961,1563200
2018-06-27,1121.339966,1131.836060,1103.619995,1103.979980,1103.979980,1293900
2018-06-28,1102.089966,1122.310059,1096.010010,1114.219971,1114.219971,1072400
2018-06-29,1120.000000,1128.227051,1115.000000,1115.650024,1115.650024,1315100
2018-07-02,1099.000000,1128.000000,1093.800049,1127.459961,1127.459961,1217300
2018-07-03,1135.819946,1135.819946,1100.020020,1102.890015,1102.890015,679000
2018-07-05,1110.530029,1127.500000,1108.479980,1124.270020,1124.270020,1066700
2018-07-06,1123.579956,1140.930054,1120.737061,1140.170044,1140.170044,996100
2018-07-09,1148.479980,1154.670044,1143.420044,1154.050049,1154.050049,909000
2018-07-10,1156.979980,1159.589966,1149.589966,1152.839966,1152.839966,798400
2018-07-11,1144.589966,1164.290039,1141.000000,1153.900024,1153.900024,1120000
2018-07-12,1159.890015,1184.410034,1155.935059,1183.479980,1183.479980,1251900
2018-07-13,1185.000000,1195.416992,1180.000000,1188.819946,1188.819946,1221900
2018-07-16,1189.390015,1191.000000,1179.280029,1183.859985,1183.859985,1055700
2018-07-17,1172.219971,1203.040039,1170.599976,1198.800049,1198.800049,1610400
2018-07-18,1196.560059,1204.500000,1190.339966,1195.880005,1195.880005,1393600
2018-07-19,1191.000000,1200.000000,1183.319946,1186.959961,1186.959961,1276700
2018-07-20,1186.959961,1196.859985,1184.219971,1184.910034,1184.910034,1247400
2018-07-23,1181.010010,1206.489990,1181.000000,1205.500000,1205.500000,2619200
2018-07-24,1262.589966,1266.000000,1235.560059,1248.079956,1248.079956,3318200
2018-07-25,1239.130005,1265.859985,1239.130005,1263.699951,1263.699951,2127800
2018-07-26,1251.000000,1269.770996,1249.020020,1268.329956,1268.329956,2405600
2018-07-27,1271.000000,1273.890015,1231.000000,1238.500000,1238.500000,2130600
2018-07-30,1228.010010,1234.916016,1211.469971,1219.739990,1219.739990,1849900
2018-07-31,1220.010010,1227.588013,1205.599976,1217.260010,1217.260010,1644700
2018-08-01,1228.000000,1233.469971,1210.209961,1220.010010,1220.010010,1567200
2018-08-02,1205.900024,1229.880005,1204.790039,1226.150024,1226.150024,1531300
2018-08-03,1229.619995,1230.000000,1215.060059,1223.709961,1223.709961,1089600
2018-08-06,1225.000000,1226.088013,1215.796997,1224.770020,1224.770020,1081700
2018-08-07,1237.000000,1251.170044,1236.170044,1242.219971,1242.219971,1494000
2018-08-08,1240.469971,1256.500000,1238.008057,1245.609985,1245.609985,1370300
2018-08-09,1249.900024,1255.541992,1246.010010,1249.099976,1249.099976,841800
2018-08-10,1243.000000,1245.694946,1232.000000,1237.609985,1237.609985,1108700
2018-08-13,1236.979980,1249.272949,1233.640991,1235.010010,1235.010010,958100
2018-08-14,1235.189941,1245.869995,1225.109985,1242.099976,1242.099976,1348100
2018-08-15,1229.260010,1235.239990,1209.510010,1214.380005,1214.380005,1828800
2018-08-16,1224.729980,1226.000000,1202.550049,1206.489990,1206.489990,1343200
2018-08-17,1202.030029,1209.020020,1188.239990,1200.959961,1200.959961,1389600
2018-08-20,1205.020020,1211.000000,1194.625977,1207.770020,1207.770020,870800
2018-08-21,1208.000000,1217.260010,1200.354004,1201.619995,1201.619995,1205600
2018-08-22,1200.000000,1211.839966,1199.000000,1207.329956,1207.329956,887400
2018-08-23,1207.140015,1221.280029,1204.239990,1205.380005,1205.380005,992600
2018-08-24,1208.819946,1221.650024,1206.359009,1220.650024,1220.650024,946600
2018-08-27,1227.599976,1243.089966,1225.715942,1241.819946,1241.819946,1156300
2018-08-28,1241.290039,1242.545044,1228.689941,1231.150024,1231.150024,1304000
2018-08-29,1237.449951,1250.660034,1236.359009,1249.300049,1249.300049,1298900
2018-08-30,1244.229980,1253.635010,1232.589966,1239.119995,1239.119995,1331400
2018-08-31,1234.979980,1238.660034,1211.285034,1218.189941,1218.189941,1816400
2018-09-04,1204.270020,1212.989990,1192.500000,1197.000000,1197.000000,1831000
2018-09-05,1193.800049,1199.010010,1162.000000,1186.479980,1186.479980,2061300
2018-09-06,1186.300049,1186.300049,1152.000000,1171.439941,1171.439941,1888500
2018-09-07,1158.670044,1175.260010,1157.214966,1164.829956,1164.829956,1401300
2018-09-10,1172.189941,1174.540039,1160.109985,1164.640015,1164.640015,1115400
2018-09-11,1161.630005,1178.680054,1156.239990,1177.359985,1177.359985,1209300
2018-09-12,1172.719971,1178.609985,1158.359985,1162.819946,1162.819946,1295500
2018-09-13,1170.739990,1178.609985,1162.849976,1175.329956,1175.329956,1431200
2018-09-14,1179.099976,1180.425049,1168.329956,1172.530029,1172.530029,944000
2018-09-17,1170.140015,1177.239990,1154.030029,1156.050049,1156.050049,1306500
2018-09-18,1157.089966,1176.079956,1157.089966,1161.219971,1161.219971,1203600
2018-09-19,1164.979980,1173.209961,1154.579956,1171.089966,1171.089966,1191400
2018-09-20,1179.989990,1189.890015,1173.359985,1186.869995,1186.869995,1210000
2018-09-21,1192.000000,1192.209961,1166.040039,1166.089966,1166.089966,4405600
2018-09-24,1157.170044,1178.000000,1146.910034,1173.369995,1173.369995,1271000
2018-09-25,1176.150024,1186.880005,1168.000000,1184.650024,1184.650024,977700
2018-09-26,1185.150024,1194.229980,1174.765015,1180.489990,1180.489990,1462300
2018-09-27,1186.729980,1202.099976,1183.630005,1194.640015,1194.640015,1260800
2018-09-28,1191.869995,1195.410034,1184.500000,1193.469971,1193.469971,1380600
2018-10-01,1199.890015,1209.900024,1190.300049,1195.310059,1195.310059,1357600
2018-10-02,1190.959961,1209.959961,1186.630005,1200.109985,1200.109985,1687900
2018-10-03,1205.000000,1206.410034,1193.829956,1202.949951,1202.949951,1256200
2018-10-04,1195.329956,1197.510010,1155.576050,1168.189941,1168.189941,2209500
2018-10-05,1167.500000,1173.500000,1145.119995,1157.349976,1157.349976,1184300
2018-10-08,1150.109985,1168.000000,1127.364014,1148.969971,1148.969971,1932400
2018-10-09,1146.150024,1154.349976,1137.572021,1138.819946,1138.819946,1308700
2018-10-10,1131.079956,1132.170044,1081.130005,1081.219971,1081.219971,2675700
2018-10-11,1072.939941,1106.400024,1068.270020,1079.319946,1079.319946,2949000
2018-10-12,1108.000000,1115.000000,1086.401978,1110.079956,1110.079956,2101300
2018-10-15,1108.910034,1113.446045,1089.000000,1092.250000,1092.250000,1372400
2018-10-16,1104.589966,1124.219971,1102.500000,1121.280029,1121.280029,1928500
2018-10-17,1126.459961,1128.989990,1102.189941,1115.689941,1115.689941,1467200
2018-10-18,1121.839966,1121.839966,1077.089966,1087.969971,1087.969971,2094500
2018-10-19,1093.369995,1110.359985,1087.750000,1096.459961,1096.459961,1267600
2018-10-22,1103.060059,1112.229980,1091.000000,1101.160034,1101.160034,1514200
2018-10-23,1080.890015,1107.890015,1070.000000,1103.689941,1103.689941,1848700
2018-10-24,1104.250000,1106.119995,1048.739990,1050.709961,1050.709961,1982400
2018-10-25,1071.790039,1110.979980,1069.550049,1095.569946,1095.569946,2545800
2018-10-26,1037.030029,1106.530029,1034.089966,1071.469971,1071.469971,4187600
2018-10-29,1082.469971,1097.040039,995.830017,1020.080017,1020.080017,3880700
2018-10-30,1008.460022,1037.489990,1000.750000,1036.209961,1036.209961,3212700
2018-10-31,1059.810059,1091.939941,1057.000000,1076.770020,1076.770020,2529800
2018-11-01,1075.800049,1083.974976,1062.459961,1070.000000,1070.000000,1482000
2018-11-02,1073.729980,1082.974976,1054.609985,1057.790039,1057.790039,1839000
2018-11-05,1055.000000,1058.469971,1021.239990,1040.089966,1040.089966,2441400
2018-11-06,1039.479980,1064.344971,1038.069946,1055.810059,1055.810059,1233300
2018-11-07,1069.000000,1095.459961,1065.900024,1093.390015,1093.390015,2058400
2018-11-08,1091.380005,1093.270020,1072.204956,1082.400024,1082.400024,1488200
2018-11-09,1073.989990,1075.560059,1053.109985,1066.150024,1066.150024,1343200
2018-11-12,1061.390015,1062.119995,1031.000000,1038.630005,1038.630005,1471800
2018-11-13,1043.290039,1056.604980,1031.150024,1036.050049,1036.050049,1513700
2018-11-14,1050.000000,1054.563965,1031.000000,1043.660034,1043.660034,1565900
2018-11-15,1044.709961,1071.849976,1031.780029,1064.709961,1064.709961,1836100
2018-11-16,1059.410034,1067.000000,1048.979980,1061.489990,1061.489990,1658100
2018-11-19,1057.199951,1060.790039,1016.260010,1020.000000,1020.000000,1858600
